"papp","at"
"897.0769230769231","2024-02-13 13:39:00+00"
"889.6923076923077","2024-02-13 13:40:00+00"
"881.6153846153846","2024-02-13 13:41:00+00"
"882.8461538461538","2024-02-13 13:42:00+00"
"868.2307692307693","2024-02-13 13:43:00+00"
"893.7692307692307","2024-02-13 13:44:00+00"
"894.1481481481482","2024-02-13 13:45:00+00"
"897.84","2024-02-13 13:46:00+00"
"890.6153846153846","2024-02-13 13:47:00+00"
"878.9230769230769","2024-02-13 13:48:00+00"
"894.6153846153846","2024-02-13 13:49:00+00"
"886.7692307692307","2024-02-13 13:50:00+00"
"900.7692307692307","2024-02-13 13:51:00+00"
"895.5384615384615","2024-02-13 13:52:00+00"
"874.6923076923077","2024-02-13 13:53:00+00"
"862.4230769230769","2024-02-13 13:54:00+00"
"868.7307692307693","2024-02-13 13:55:00+00"
"858.4230769230769","2024-02-13 13:56:00+00"
"867.6153846153846","2024-02-13 13:57:00+00"
"850.6923076923077","2024-02-13 13:58:00+00"
"856.4615384615385","2024-02-13 13:59:00+00"
"866.2307692307693","2024-02-13 14:00:00+00"
"875.3076923076923","2024-02-13 14:01:00+00"
"872.3076923076923","2024-02-13 14:02:00+00"
"868.3076923076923","2024-02-13 14:03:00+00"
"850.4074074074074","2024-02-13 14:04:00+00"
"847.0769230769231","2024-02-13 14:05:00+00"
"858.5384615384615","2024-02-13 14:06:00+00"
"890.7307692307693","2024-02-13 14:07:00+00"
"909.5384615384615","2024-02-13 14:08:00+00"
"894.6538461538462","2024-02-13 14:09:00+00"
"888.4615384615385","2024-02-13 14:10:00+00"
"882.4615384615385","2024-02-13 14:11:00+00"
"879.2307692307693","2024-02-13 14:12:00+00"
"896.5384615384615","2024-02-13 14:13:00+00"
"893.3846153846154","2024-02-13 14:14:00+00"
"905.9230769230769","2024-02-13 14:15:00+00"
"916.2307692307693","2024-02-13 14:16:00+00"
"899.6923076923077","2024-02-13 14:17:00+00"
"885.5384615384615","2024-02-13 14:18:00+00"
"890.7692307692307","2024-02-13 14:19:00+00"
"893.7777777777778","2024-02-13 14:20:00+00"
"886.3076923076923","2024-02-13 14:21:00+00"
"895.6153846153846","2024-02-13 14:22:00+00"
"897.9230769230769","2024-02-13 14:23:00+00"
"915.3076923076923","2024-02-13 14:24:00+00"
"919.8461538461538","2024-02-13 14:25:00+00"
"929.6153846153846","2024-02-13 14:26:00+00"
"940.5769230769231","2024-02-13 14:27:00+00"
"930.4230769230769","2024-02-13 14:28:00+00"
"943.8461538461538","2024-02-13 14:29:00+00"
"918.0769230769231","2024-02-13 14:30:00+00"
"933.3461538461538","2024-02-13 14:31:00+00"
"930.1538461538462","2024-02-13 14:32:00+00"
"898.6153846153846","2024-02-13 14:33:00+00"
"893.1153846153846","2024-02-13 14:34:00+00"
"881.4615384615385","2024-02-13 14:35:00+00"
"893.5","2024-02-13 14:36:00+00"
"897.8461538461538","2024-02-13 14:37:00+00"
"912.4230769230769","2024-02-13 14:38:00+00"
"900.5","2024-02-13 14:39:00+00"
"878.8461538461538","2024-02-13 14:40:00+00"
"875.1153846153846","2024-02-13 14:41:00+00"
"884.6153846153846","2024-02-13 14:42:00+00"
"916.7307692307693","2024-02-13 14:43:00+00"
"911.2692307692307","2024-02-13 14:44:00+00"
"900.4230769230769","2024-02-13 14:45:00+00"
"918.4615384615385","2024-02-13 14:46:00+00"
"906.1538461538462","2024-02-13 14:47:00+00"
"894.8461538461538","2024-02-13 14:48:00+00"
"919.925925925926","2024-02-13 14:49:00+00"
"923.9230769230769","2024-02-13 14:50:00+00"
"918.2307692307693","2024-02-13 14:51:00+00"
"910.32","2024-02-13 14:52:00+00"
"907.2307692307693","2024-02-13 14:53:00+00"
"895.9230769230769","2024-02-13 14:54:00+00"
"919.9230769230769","2024-02-13 14:55:00+00"
"915.5384615384615","2024-02-13 14:56:00+00"
"911.3076923076923","2024-02-13 14:57:00+00"
"893.4615384615385","2024-02-13 14:58:00+00"
"884.3076923076923","2024-02-13 14:59:00+00"
"892.6538461538462","2024-02-13 15:00:00+00"
"877.6153846153846","2024-02-13 15:01:00+00"
"938.5384615384615","2024-02-13 15:02:00+00"
"912.3846153846154","2024-02-13 15:03:00+00"
"908.1538461538462","2024-02-13 15:04:00+00"
"909.8461538461538","2024-02-13 15:05:00+00"
"884.1666666666666","2024-02-13 15:06:00+00"
"913","2024-02-13 15:22:00+00"
"939.9230769230769","2024-02-13 15:23:00+00"
"909.2692307692307","2024-02-13 15:24:00+00"
"945.5","2024-02-13 15:25:00+00"
"947","2024-02-13 15:26:00+00"
"947.9230769230769","2024-02-13 15:27:00+00"
"940.6153846153846","2024-02-13 15:28:00+00"
"948.3076923076923","2024-02-13 15:29:00+00"
"955.4615384615385","2024-02-13 15:30:00+00"
"921.8461538461538","2024-02-13 15:31:00+00"
"943.074074074074","2024-02-13 15:32:00+00"
"951.7307692307693","2024-02-13 15:33:00+00"
"947.1923076923077","2024-02-13 15:34:00+00"
"977.7692307692307","2024-02-13 15:35:00+00"
"945.3461538461538","2024-02-13 15:36:00+00"
"975.68","2024-02-13 15:37:00+00"
"959.4615384615385","2024-02-13 15:38:00+00"
"934","2024-02-13 15:39:00+00"
"951.3846153846154","2024-02-13 15:40:00+00"
"949.3076923076923","2024-02-13 15:41:00+00"
"940.6923076923077","2024-02-13 15:42:00+00"
"967.6923076923077","2024-02-13 15:43:00+00"
"974.6153846153846","2024-02-13 15:44:00+00"
"964.8461538461538","2024-02-13 15:45:00+00"
"941.7777777777778","2024-02-13 15:46:00+00"
"920.7692307692307","2024-02-13 15:47:00+00"
"896.9230769230769","2024-02-13 15:48:00+00"
"909.4615384615385","2024-02-13 15:49:00+00"
"931.1538461538462","2024-02-13 15:50:00+00"
"935.6923076923077","2024-02-13 15:51:00+00"
"921.2307692307693","2024-02-13 15:52:00+00"
"926.7307692307693","2024-02-13 15:53:00+00"
"938.5384615384615","2024-02-13 15:54:00+00"
"967.6153846153846","2024-02-13 15:55:00+00"
"958.9230769230769","2024-02-13 15:56:00+00"
"947.8461538461538","2024-02-13 15:57:00+00"
"950.8461538461538","2024-02-13 15:58:00+00"
"936.5769230769231","2024-02-13 15:59:00+00"
"954.2692307692307","2024-02-13 16:00:00+00"
"957.8846153846154","2024-02-13 16:01:00+00"
"950.3076923076923","2024-02-13 16:02:00+00"
"935.5769230769231","2024-02-13 16:03:00+00"
"942.6923076923077","2024-02-13 16:04:00+00"
"927.6153846153846","2024-02-13 16:05:00+00"
"965.4615384615385","2024-02-13 16:06:00+00"
"970.8461538461538","2024-02-13 16:07:00+00"
"973.8846153846154","2024-02-13 16:08:00+00"
"983.6153846153846","2024-02-13 16:09:00+00"
"986.8846153846154","2024-02-13 16:10:00+00"
"944.6923076923077","2024-02-13 16:11:00+00"
"944.9230769230769","2024-02-13 16:12:00+00"
"945","2024-02-13 16:13:00+00"
"934.4230769230769","2024-02-13 16:14:00+00"
"951.3076923076923","2024-02-13 16:15:00+00"
"933.7307692307693","2024-02-13 16:16:00+00"
"998.5384615384615","2024-02-13 16:17:00+00"
"985.5384615384615","2024-02-13 16:18:00+00"
"980.1538461538462","2024-02-13 16:19:00+00"
"985.7692307692307","2024-02-13 16:20:00+00"
"979.2692307692307","2024-02-13 16:21:00+00"
"957.8461538461538","2024-02-13 16:22:00+00"
"988.7307692307693","2024-02-13 16:23:00+00"
"961.1538461538462","2024-02-13 16:24:00+00"
"976.3461538461538","2024-02-13 16:25:00+00"
"1009.6923076923077","2024-02-13 16:26:00+00"
"995.64","2024-02-13 16:27:00+00"
"979.3076923076923","2024-02-13 16:28:00+00"
"981.7037037037037","2024-02-13 16:29:00+00"
"960.8461538461538","2024-02-13 16:30:00+00"
